"model","FP","TP"
"1","hmm",1,1
"2","hmm",0.305253194510175,0.925531914893617
"3","hmm",0.285849503076195,0.893617021276596
"4","hmm",0.272598201609087,0.893617021276596
"5","hmm",0.26549929010885,0.882978723404255
"6","hmm",0.260293421675343,0.882978723404255
"7","hmm",0.254614292475154,0.882978723404255
"8","hmm",0.250354945575012,0.882978723404255
"9","hmm",0.248461902508282,0.882978723404255
"10","hmm",0.24420255560814,0.882978723404255
"11","hmm",0.239943208707998,0.882978723404255
"12","hmm",0.233317557974444,0.882978723404255
"13","hmm",0.230477993374349,0.882978723404255
"14","hmm",0.227165168007572,0.882978723404255
"15","hmm",0.22290582110743,0.872340425531915
"16","hmm",0.218646474207288,0.872340425531915
"17","hmm",0.213913866540464,0.861702127659574
"18","hmm",0.204921911973497,0.861702127659574
"19","hmm",0.199242782773308,0.861702127659574
"20","hmm",0.192617132039754,0.840425531914894
"21","hmm",0,0
